2018-07-31 16:03:26.55: SYS_STATUS {onboard_control_sensors_present : 2161691, onboard_control_sensors_enabled : 2129944, onboard_control_sensors_health : 3210240, load : 0, voltage_battery : 0, current_battery : 0, battery_remaining : 100, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:22.51: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 691, voltage_battery : 15992, current_battery : 216, battery_remaining : 84, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:23.01: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 700, voltage_battery : 15981, current_battery : 205, battery_remaining : 84, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:23.47: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 710, voltage_battery : 15675, current_battery : 226, battery_remaining : 84, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:24.13: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 713, voltage_battery : 15917, current_battery : 222, battery_remaining : 84, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:24.47: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 698, voltage_battery : 15679, current_battery : 262, battery_remaining : 84, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:25.07: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 708, voltage_battery : 15744, current_battery : 321, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:25.53: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 697, voltage_battery : 15777, current_battery : 281, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:26.02: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 709, voltage_battery : 15782, current_battery : 286, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:26.56: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 698, voltage_battery : 15758, current_battery : 317, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:27.03: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 700, voltage_battery : 15888, current_battery : 275, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:27.48: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 696, voltage_battery : 15786, current_battery : 326, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:28.08: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 700, voltage_battery : 15893, current_battery : 339, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:28.51: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 694, voltage_battery : 15656, current_battery : 375, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:28.98: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 701, voltage_battery : 15744, current_battery : 396, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:29.56: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 698, voltage_battery : 15730, current_battery : 425, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:30.04: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 702, voltage_battery : 15744, current_battery : 378, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:30.48: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 694, voltage_battery : 15838, current_battery : 347, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:31.07: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 700, voltage_battery : 15695, current_battery : 387, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:31.51: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 695, voltage_battery : 15600, current_battery : 376, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:32.10: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 703, voltage_battery : 15758, current_battery : 379, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:32.55: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 700, voltage_battery : 15824, current_battery : 372, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:33.04: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 700, voltage_battery : 15986, current_battery : 428, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:33.58: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 694, voltage_battery : 15800, current_battery : 418, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:34.08: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 701, voltage_battery : 15721, current_battery : 431, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:34.50: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 698, voltage_battery : 15679, current_battery : 434, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:35.10: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 700, voltage_battery : 15879, current_battery : 436, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:35.56: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 699, voltage_battery : 15572, current_battery : 465, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:36.05: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 706, voltage_battery : 15870, current_battery : 426, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:36.58: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 696, voltage_battery : 15684, current_battery : 378, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:37.09: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 703, voltage_battery : 15875, current_battery : 366, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:37.51: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 697, voltage_battery : 15717, current_battery : 321, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:38.09: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 700, voltage_battery : 15744, current_battery : 315, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:38.57: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 695, voltage_battery : 15665, current_battery : 330, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:39.14: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 703, voltage_battery : 15729, current_battery : 275, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:39.59: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 708, voltage_battery : 15802, current_battery : 256, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:40.07: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 704, voltage_battery : 15786, current_battery : 244, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:40.62: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 706, voltage_battery : 15642, current_battery : 286, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:41.10: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 696, voltage_battery : 15763, current_battery : 225, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:41.54: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 699, voltage_battery : 15798, current_battery : 229, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:42.13: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 695, voltage_battery : 15749, current_battery : 207, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:42.58: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 702, voltage_battery : 15687, current_battery : 218, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:43.07: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 694, voltage_battery : 15726, current_battery : 196, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:43.63: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 698, voltage_battery : 15651, current_battery : 200, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:44.10: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 689, voltage_battery : 15782, current_battery : 164, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:44.67: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 690, voltage_battery : 15833, current_battery : 167, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:45.13: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 687, voltage_battery : 15865, current_battery : 161, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:45.59: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 699, voltage_battery : 15704, current_battery : 170, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:46.19: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 685, voltage_battery : 15889, current_battery : 165, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:46.64: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 691, voltage_battery : 15791, current_battery : 147, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:47.20: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 691, voltage_battery : 15852, current_battery : 113, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:47.67: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 695, voltage_battery : 15852, current_battery : 101, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:48.14: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 685, voltage_battery : 15817, current_battery : 107, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:48.71: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 695, voltage_battery : 15836, current_battery : 102, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:49.17: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 698, voltage_battery : 15852, current_battery : 114, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:49.62: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 687, voltage_battery : 15823, current_battery : 89, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:50.21: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 696, voltage_battery : 15805, current_battery : 115, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:50.66: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 694, voltage_battery : 15776, current_battery : 136, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:51.13: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 702, voltage_battery : 15889, current_battery : 121, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:51.71: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 704, voltage_battery : 15672, current_battery : 121, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:52.16: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 708, voltage_battery : 15749, current_battery : 150, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:52.65: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 697, voltage_battery : 15782, current_battery : 136, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:53.19: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 704, voltage_battery : 15849, current_battery : 153, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:53.68: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 698, voltage_battery : 15802, current_battery : 209, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:54.14: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 698, voltage_battery : 15772, current_battery : 257, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:54.71: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 694, voltage_battery : 15651, current_battery : 296, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:55.16: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 704, voltage_battery : 15842, current_battery : 315, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:55.63: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 699, voltage_battery : 15740, current_battery : 240, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:56.20: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 695, voltage_battery : 15870, current_battery : 259, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:56.67: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 695, voltage_battery : 15712, current_battery : 281, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:57.15: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 697, voltage_battery : 15777, current_battery : 286, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:57.72: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 690, voltage_battery : 15815, current_battery : 281, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:58.17: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 701, voltage_battery : 15717, current_battery : 262, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:58.75: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 695, voltage_battery : 15841, current_battery : 237, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:59.20: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 697, voltage_battery : 15852, current_battery : 213, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:17:59.67: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 697, voltage_battery : 15772, current_battery : 231, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:18:00.15: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 698, voltage_battery : 15850, current_battery : 192, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:18:00.70: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 690, voltage_battery : 15906, current_battery : 173, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:18:01.18: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 703, voltage_battery : 15815, current_battery : 163, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
2018-07-31 16:18:01.74: SYS_STATUS {onboard_control_sensors_present : 2161723, onboard_control_sensors_enabled : 2161723, onboard_control_sensors_health : 3210299, load : 699, voltage_battery : 15691, current_battery : 169, battery_remaining : 83, drop_rate_comm : 0, errors_comm : 0, errors_count1 : 0, errors_count2 : 0, errors_count3 : 0, errors_count4 : 0}
